time [s],425nm [mV],Channel 2-500nm [mV],Channel 3-610nm [mV]
7780,461.476,1388.164,1821.856
7800,606.906,1816.704,2381.601
7820,474.37199999999996,1409.101,1822.906
7840,357.785,1075.678,1412.525
7860,705.721,2137.802,2829.442
7880,680.265,2056.646,2726.3070000000002
7900,670.1089999999999,2021.4679999999998,2674.9829999999997
7920,685.618,2071.3070000000002,2737.605
7940,688.3789999999999,2076.933,2750.509
7960,690.038,2078.345,2748.072
7980,690.956,2079.029,2754.1420000000003
8000,679.6619999999999,2047.963,2698.448
8020,668.795,2013.719,2656.2
8040,685.7280000000001,2059.229,2719.777
8060,686.238,2059.808,2721.3070000000002
8080,666.561,1996.963,2630.2929999999997
8100,661.2710000000001,1981.671,2608.705
8120,641.439,1920.9979999999998,2530.0570000000002
8140,650.9490000000001,1947.253,2566.562
8160,649.118,1937.1029999999998,2554.529
8180,616.136,1839.2679999999998,2423.871
8200,606.84,1810.596,2381.06
8220,531.712,1578.195,2061.262
8240,590.107,1757.0,2308.326
8260,568.571,1691.089,2228.751
8280,481.744,1426.745,1865.771
8300,571.315,1700.056,2232.056
8320,660.317,1969.3229999999999,2597.189
8340,668.225,1987.655,2624.605
8360,684.702,2037.184,2689.75
8380,650.125,1930.759,2539.899
8400,617.528,1827.979,2400.7889999999998
8420,669.158,1987.402,2611.625
8440,669.7460000000001,1987.376,2617.791
8460,691.7689999999999,2055.504,2710.4240000000004
8480,691.795,2055.798,2708.2940000000003
8500,689.745,2046.6989999999998,2693.25
8520,698.903,2075.174,2733.357
8540,707.555,2098.634,2764.8379999999997
8560,707.822,2100.458,2768.199
8580,704.069,2088.893,2751.93
8600,705.6619999999999,2093.344,2757.5440000000003
8620,703.9739999999999,2086.883,2750.857
8640,705.113,2090.144,2749.24
8660,702.941,2081.408,2740.6690000000003
8680,706.2819999999999,2089.6839999999997,2750.697
8700,699.2360000000001,2070.811,2725.127
8720,697.763,2066.853,2721.522
8740,694.8660000000001,2054.3,2701.342
8760,687.2769999999999,2029.095,2670.264
8780,695.3910000000001,2055.044,2698.7529999999997
8800,679.574,2004.025,2630.9390000000003
8820,699.916,2066.038,2720.1059999999998
8840,711.6460000000001,2100.494,2762.5440000000003
8860,707.207,2083.5229999999997,2739.639
8880,718.0089999999999,2117.155,2781.9970000000003
8900,715.466,2105.1910000000003,2766.387
8920,710.385,2085.683,2733.4429999999998
8940,705.9689999999999,2067.905,2707.0759999999996
8960,705.7189999999999,2065.7110000000002,2701.857
8980,711.16,2091.229,2730.6890000000003
9000,728.064,2129.681,2787.042
9020,721.3969999999999,2108.323,2758.675
9040,722.4939999999999,2111.394,2765.744
9060,715.005,2086.942,2738.335
9080,712.8480000000001,2086.558,2728.97
9100,695.3380000000001,2032.671,2662.692
9120,631.9119999999999,1842.8470000000002,2406.979
9140,655.5989999999999,1911.984,2505.515
9160,682.3989999999999,1986.694,2604.9970000000003
9180,658.677,1920.8139999999999,2512.331
9200,630.491,1828.28,2388.83
9220,594.337,1723.13,2239.625
9240,655.069,1906.505,2482.488
9260,681.579,1981.2820000000002,2585.402
9280,718.362,2094.915,2741.804
9300,708.5369999999999,2057.345,2689.211
9320,658.753,1909.759,2487.705
9340,658.658,1908.567,2487.9429999999998
9360,593.5790000000001,1715.66,2231.2070000000003
9380,472.434,1362.6889999999999,1764.6789999999999
9400,423.49300000000005,1225.4289999999999,1589.296
9420,486.12800000000004,1402.755,1824.808
9440,491.569,1417.568,1841.519
9460,457.68300000000005,1316.6429999999998,1710.608
9480,462.534,1329.634,1724.1979999999999
9500,397.151,1140.187,1479.707
9520,484.819,1393.4779999999998,1806.8339999999998
9540,488.224,1395.974,1801.846
9560,399.103,1144.254,1480.379
9580,378.11800000000005,1078.861,1391.6970000000001
9600,299.242,851.355,1095.8410000000001
9620,294.344,837.44,1077.0339999999999
9640,295.775,836.363,1071.372
9660,216.715,611.2669999999999,780.923
9680,201.602,565.085,719.02
9700,203.516,574.403,735.309
9720,283.79200000000003,802.8510000000001,1028.433
9740,294.909,834.072,1069.765
9760,348.358,984.201,1258.65
9780,328.39300000000003,929.217,1189.718
9800,311.017,878.279,1124.504
9820,334.566,947.2230000000001,1213.193
9840,385.287,1089.16,1395.9479999999999
9860,422.24199999999996,1195.712,1531.465
9880,358.231,1010.8689999999999,1298.077
9900,359.32099999999997,1013.1569999999999,1295.474
9920,306.351,864.298,1108.26
9940,385.108,1090.901,1402.4
9960,563.245,1605.318,2078.583
9980,442.18300000000005,1253.347,1613.743
10000,467.81300000000005,1323.256,1705.146
10020,575.69,1639.254,2118.7729999999997
10040,541.694,1537.764,1983.5420000000001
10060,492.85900000000004,1393.511,1787.925
10080,626.922,1783.037,2308.085
10100,616.775,1749.8110000000001,2258.124
10120,652.18,1856.74,2401.891
10140,720.9830000000001,2051.346,2659.998
10160,652.525,1850.1779999999999,2384.825
10180,536.678,1517.684,1956.756
10200,618.656,1750.207,2251.952
10220,540.957,1524.6270000000002,1954.1670000000001
10240,454.645,1276.67,1627.219
10260,430.57,1213.036,1551.3129999999999
10280,588.172,1666.4029999999998,2153.95
10300,506.12,1431.735,1850.114
10320,517.058,1466.2620000000002,1894.567
10340,551.414,1565.3629999999998,2025.2320000000002
10360,350.30800000000005,973.7589999999999,1232.657
10380,138.414,388.08099999999996,501.235
10400,408.58,1143.68,1457.3929999999998
10420,565.341,1599.35,2067.74
10440,400.69599999999997,1117.985,1418.273
10460,234.449,651.798,830.15
10480,243.88099999999997,674.4839999999999,850.966
10500,708.602,2011.924,2608.5589999999997
10520,564.8330000000001,1591.3629999999998,2050.24
10540,580.873,1640.148,2108.9120000000003
10560,677.435,1914.265,2476.721
10580,726.807,2057.047,2656.198
10600,718.298,2026.033,2619.865
10620,732.8919999999999,2070.577,2675.765
10640,726.686,2051.144,2649.002
10660,722.1339999999999,2037.6229999999998,2629.6209999999996
10680,731.916,2071.786,2666.447
10700,735.4860000000001,2076.323,2684.0690000000004
10720,739.1,2087.989,2699.509
10740,744.159,2100.186,2719.295
10760,749.9119999999999,2120.0589999999997,2748.218
10780,756.507,2138.462,2767.768
10800,768.054,2169.8089999999997,2802.563
10820,776.975,2190.688,2833.0040000000004
10840,785.153,2218.764,2866.015
10860,791.4019999999999,2237.527,2890.828
10880,796.3939999999999,2247.407,2905.1059999999998
10900,798.671,2250.094,2914.784
10920,801.177,2257.361,2919.595
10940,798.533,2253.525,2923.009
10960,802.4019999999999,2261.345,2918.8779999999997
10980,801.196,2258.239,2917.702
11000,796.335,2242.708,2902.672
11020,795.913,2236.254,2889.242
11040,789.7260000000001,2220.635,2867.033
11060,796.883,2249.589,2905.486
11080,789.373,2222.125,2877.417
11100,800.946,2248.342,2912.8720000000003
11120,801.888,2250.972,2910.8740000000003
11140,796.7310000000001,2240.417,2891.333
11160,797.8839999999999,2240.257,2893.145
11180,793.4739999999999,2228.742,2877.111
11200,798.91,2246.299,2895.737
11220,795.9889999999999,2234.3920000000003,2890.732
11240,795.078,2231.512,2878.821
11260,790.622,2219.589,2865.665
11280,786.238,2205.531,2845.454
11300,776.6339999999999,2175.131,2800.3909999999996
11320,771.6560000000001,2159.529,2779.098
11340,772.145,2167.95,2789.9770000000003
11360,755.2460000000001,2112.584,2718.0290000000005
11380,750.375,2099.929,2707.002
11400,750.887,2097.113,2700.8059999999996
11420,775.461,2168.379,2792.53
11440,772.9939999999999,2158.4320000000002,2780.8070000000002
11460,791.414,2211.952,2849.5640000000003
11480,801.375,2240.908,2877.009
11500,799.289,2232.251,2876.17
11520,787.845,2196.15,2829.905
11540,787.852,2199.786,2833.9120000000003
11560,784.385,2191.1839999999997,2824.8190000000004
11580,759.947,2118.306,2734.785
11600,776.465,2173.328,2799.065
11620,770.931,2155.1420000000003,2776.635
11640,725.8610000000001,2021.52,2594.2729999999997
11660,732.508,2039.475,2621.66
11680,746.1089999999999,2074.389,2668.111
11700,735.826,2045.2620000000002,2627.5040000000004
